h1      1.0004744191e-05   1.0004744191e-05   
h2      2.6014799539e-14   1.3007399769e-14   
he3     9.3884934670e-13   3.1294978223e-13   
he4     5.6241331984e-02   1.4060332996e-02   
li6     2.6465748913e-14   4.4109581522e-15   
li7     3.3553398682e-13   4.7933426689e-14   
be9     1.6759767450e-16   1.8621963833e-17   
b10     1.1273834555e-14   1.1273834555e-15   
b11     1.0576921902e-10   9.6153835475e-12   
c12     1.6076881216e-05   1.3397401013e-06   
c13     5.2975881424e-09   4.0750678019e-10   
n14     9.1523186256e-08   6.5373704469e-09   
n15     3.2857988860e-07   2.1905325907e-08   
o16     3.1749000052e-06   1.9843125032e-07   
o17     6.8681463288e-06   4.0400860758e-07   
o18     7.0987306403e-05   3.9437392446e-06   
f19     4.0271853063e-05   2.1195712138e-06   
ne20    1.0149015930e-05   5.0745079652e-07   
ne21    4.9069724077e-06   2.3366535275e-07   
ne22    3.1027641354e-04   1.4103473343e-05   
na23    6.1214499071e-07   2.6614999596e-08   
mg24    1.8873448622e-07   7.8639369258e-09   
mg25    5.8395589583e-06   2.3358235833e-07   
mg26    6.3008177510e-06   2.4233914427e-07   
al27    6.4119771225e-07   2.3748063417e-08   
si28    3.3585459069e-06   1.1994806810e-07   
si29    2.5728159645e-06   8.8717791880e-08   
si30    2.1210750991e-05   7.0702503302e-07   
p31     3.1704516265e-06   1.0227263311e-07   
s32     8.3424632423e-06   2.6070197632e-07   
s33     2.5527682040e-06   7.7356612244e-08   
s34     5.0152663822e-05   1.4750783477e-06   
s36     1.3432700835e-06   3.7313057874e-08   
cl35    1.2740497051e-05   3.6401420146e-07   
cl37    4.6986500272e-06   1.2699054128e-07   
ar36    1.7210817013e-05   4.7807825036e-07   
ar38    1.2163009338e-05   3.2007919312e-07   
ar40    3.6977648344e-06   9.2444120860e-08   
k39     1.2752118941e-05   3.2697740875e-07   
k40     1.0373639014e-08   2.5934097534e-10   
k41     1.7148098882e-05   4.1824631419e-07   
ca40    3.4637139937e-04   8.6592849842e-06   
ca42    2.1668012254e-05   5.1590505366e-07   
ca43    7.2778981068e-06   1.6925344434e-07   
ca44    1.2437826964e-04   2.8267788555e-06   
ca46    1.3783661879e-05   2.9964482345e-07   
ca48    2.2658077066e-02   4.7204327221e-04   
sc45    9.1349358848e-06   2.0299857522e-07   
ti46    1.2919133518e-05   2.8085072864e-07   
ti47    5.5010814272e-05   1.1704428569e-06   
ti48    2.2415420015e-04   4.6698791699e-06   
ti49    2.3963836497e-03   4.8905788770e-05   
ti50    3.1720346081e-02   6.3440692162e-04   
v50     3.8600404847e-09   7.7200809695e-11   
v51     1.1483329143e-02   2.2516331654e-04   
cr50    8.1977606914e-05   1.6395521383e-06   
cr52    2.5871930441e-02   4.9753712387e-04   
cr53    6.9408432553e-03   1.3095930670e-04   
cr54    5.1041638228e-03   9.4521552274e-05   
mn55    1.2143873295e-03   2.2079769628e-05   
fe54    5.7708194857e-03   1.0686702751e-04   
fe56    2.5513355055e-01   4.5559562598e-03   
fe57    7.9256080850e-03   1.3904575588e-04   
fe58    4.5950348654e-03   7.9224739059e-05   
co59    6.4307324486e-03   1.0899546523e-04   
ni58    5.9017661271e-02   1.0175458840e-03   
ni60    5.1646677835e-02   8.6077796392e-04   
ni61    1.4954968064e-03   2.4516341088e-05   
ni62    1.3942160415e-02   2.2487355508e-04   
ni64    7.0715193872e-03   1.1049249042e-04   
cu63    8.0987842668e-04   1.2855213122e-05   
cu65    1.0129779698e-03   1.5584276459e-05   
zn64    2.0337205646e-02   3.1776883821e-04   
zn66    9.1695210268e-03   1.3893213677e-04   
zn67    5.2100632871e-04   7.7762138614e-06   
zn68    1.1603154838e-02   1.7063462997e-04   
zn70    9.2753503590e-03   1.3250500513e-04   
ga69    7.3209491946e-04   1.0610071296e-05   
ga71    8.1977306348e-04   1.1546099486e-05   
ge70    8.1288909735e-05   1.1612701391e-06   
ge72    5.9882390009e-03   8.3169986124e-05   
ge73    1.5662901475e-03   2.1456029417e-05   
ge74    2.3895708176e-03   3.2291497535e-05   
ge76    1.1537531234e-02   1.5180962151e-04   
as75    2.6786352779e-03   3.5715137038e-05   
se74    1.3522670294e-05   1.8273878776e-07   
se76    5.2741039093e-06   6.9396104069e-08   
se77    2.5129431926e-03   3.2635625878e-05   
se78    3.6742605635e-02   4.7105904660e-04   
se80    3.9000458358e-02   4.8750572948e-04   
se82    3.2384997970e-02   3.9493899963e-04   
br79    1.1135774515e-02   1.4095917108e-04   
br81    3.5286262576e-02   4.3563287131e-04   
kr78    3.0242161883e-06   3.8772002415e-08   
kr80    3.3160658947e-07   4.1450823684e-09   
kr82    9.4521533720e-07   1.1527016307e-08   
kr83    6.3929512868e-03   7.7023509480e-05   
kr84    1.6375944509e-02   1.9495172035e-04   
kr86    2.0131918983e-03   2.3409208120e-05   
rb85    4.3148471246e-03   5.0762907349e-05   
rb87    2.8622811796e-03   3.2899783674e-05   
sr84    2.3555066569e-07   2.8041745915e-09   
sr86    2.0765011429e-07   2.4145362126e-09   
sr87    1.5626432785e-07   1.7961416994e-09   
sr88    2.0258657699e-03   2.3021201930e-05   
y89     8.3174761786e-04   9.3454788523e-06   
zr90    1.8075645940e-03   2.0084051045e-05   
zr91    1.8905609197e-03   2.0775394722e-05   
zr92    1.5999535533e-03   1.7390799493e-05   
zr94    8.4307996262e-04   8.9689357725e-06   
zr96    1.2327118442e-03   1.2840748377e-05   
nb93    5.1417546260e-04   5.5287684151e-06   
mo92    1.9384911976e-06   2.1070556496e-08   
mo94    3.0434624391e-09   3.2377259991e-11   
mo95    1.8266004485e-03   1.9227373143e-05   
mo96    8.2908259823e-06   8.6362770648e-08   
mo97    7.3423995970e-04   7.5694841206e-06   
mo98    1.4206057472e-03   1.4495977012e-05   
mo100   5.6714122497e-04   5.6714122497e-06   
ru96    1.0205422173e-10   1.0630648097e-12   
ru98    3.4738530909e-13   3.5447480520e-15   
ru99    1.0239185768e-03   1.0342611886e-05   
ru100   6.5902629284e-15   6.5902629284e-17   
ru101   5.0178612697e-04   4.9681794750e-06   
ru102   5.4920945001e-04   5.3844063727e-06   
ru104   1.0180174619e-03   9.7886294410e-06   
rh103   9.7778167673e-04   9.4930259877e-06   
pd102   8.1261958973e-15   7.9668587228e-17   
pd104   3.5742221386e-16   3.4367520563e-18   
pd105   1.3772340555e-03   1.3116514814e-05   
pd106   1.0428742803e-03   9.8384366067e-06   
pd108   2.1703479056e-03   2.0095813941e-05   
pd110   1.3272899845e-03   1.2066272587e-05   
ag107   1.3694193363e-03   1.2798311554e-05   
ag109   1.5148933403e-03   1.3898104039e-05   
